country_code,country_name,year,wb_region,wb_income_group,overall_mobility_score,legal_frameworks_score,law_can_choose_where_to_live,law_can_travel_internationally,law_can_leave_marital_home,law_equal_citizenship_rights,supportive_frameworks_score,sfr_equal_id_document_process,sfr_equal_passport_process,sfr_gender_sensitive_transport_policy,sfr_free_from_govt_mobility_constraints,enforcement_perceptions_score,enf_right_to_choose_where_to_live,enf_right_to_travel_internationally,enf_right_to_leave_marital_home,enf_equal_citizenship_rights,has_enforcement_data
AUS,Australia,2026,East Asia & Pacific,High income,100.0,100.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,100.0,4.0,4.0,4.0,4.0,1
AUT,Austria,2026,Europe & Central Asia,High income,100.0,100.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,100.0,4.0,4.0,4.0,4.0,1
FIN,Finland,2026,Europe & Central Asia,High income,100.0,100.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,100.0,4.0,4.0,4.0,4.0,1
ESP,Spain,2026,Europe & Central Asia,High income,100.0,100.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,100.0,4.0,4.0,4.0,4.0,1
FRA,France,2026,Europe & Central Asia,High income,100.0,100.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,100.0,4.0,4.0,4.0,4.0,1
CZE,Czechia,2026,Europe & Central Asia,High income,100.0,100.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,100.0,4.0,4.0,4.0,4.0,1
CHL,Chile,2026,Latin America & Caribbean,High income,100.0,100.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,100.0,4.0,4.0,4.0,4.0,1
MLT,Malta,2026,Middle East & North Africa,High income,100.0,100.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,,,,,,0
JPN,Japan,2026,East Asia & Pacific,High income,100.0,100.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,100.0,4.0,4.0,4.0,4.0,1
PER,Peru,2026,Latin America & Caribbean,Upper middle income,100.0,100.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,100.0,4.0,4.0,4.0,4.0,1
RWA,Rwanda,2026,Sub-Saharan Africa,Low income,100.0,100.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,100.0,4.0,4.0,4.0,4.0,1
SLV,El Salvador,2026,Latin America & Caribbean,Lower middle income,100.0,100.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,100.0,4.0,4.0,4.0,4.0,1
SWE,Sweden,2026,Europe & Central Asia,High income,100.0,100.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,100.0,4.0,4.0,4.0,4.0,1
TWN,"Taiwan, China",2026,East Asia & Pacific,High income,100.0,100.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,100.0,4.0,4.0,4.0,4.0,1
MEX,Mexico,2026,Latin America & Caribbean,Upper middle income,100.0,100.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,100.0,4.0,4.0,4.0,4.0,1
CAN,Canada,2026,North America,High income,98.96,100.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,96.88,3.5,4.0,4.0,4.0,1
ECU,Ecuador,2026,Latin America & Caribbean,Upper middle income,96.87666666666667,100.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,90.63,4.0,4.0,3.5,3.0,1
ETH,Ethiopia,2026,Sub-Saharan Africa,Low income,95.83333333333333,100.0,1.0,1.0,1.0,1.0,87.5,1.0,1.0,0.5,1.0,100.0,4.0,4.0,4.0,4.0,1
TUR,Turkiye,2026,Europe & Central Asia,Upper middle income,95.83333333333333,100.0,1.0,1.0,1.0,1.0,87.5,1.0,1.0,0.5,1.0,100.0,4.0,4.0,4.0,4.0,1
ISR,Israel,2026,Middle East & North Africa,High income,95.83333333333333,100.0,1.0,1.0,1.0,1.0,87.5,1.0,1.0,0.5,1.0,100.0,4.0,4.0,4.0,4.0,1
NAM,Namibia,2026,Sub-Saharan Africa,Upper middle income,95.83333333333333,100.0,1.0,1.0,1.0,1.0,87.5,1.0,1.0,0.5,1.0,100.0,4.0,4.0,4.0,4.0,1
OEC,High income: OECD,2026,Unknown,Unknown,94.13666666666666,100.0,1.0,1.0,1.0,1.0,82.72,1.0,1.0,0.31,1.0,99.69,3.97,4.0,4.0,3.98,1
BLZ,Belize,2026,Latin America & Caribbean,Upper middle income,93.75,100.0,1.0,1.0,1.0,1.0,87.5,1.0,1.0,0.5,1.0,,,,,,0
MDA,Moldova,2026,Europe & Central Asia,Upper middle income,93.75,100.0,1.0,1.0,1.0,1.0,87.5,1.0,1.0,0.5,1.0,93.75,3.5,4.0,3.5,4.0,1
GHA,Ghana,2026,Sub-Saharan Africa,Lower middle income,93.23,87.5,1.0,1.0,1.0,0.5,100.0,1.0,1.0,1.0,1.0,92.19,4.0,4.0,4.0,2.75,1
BIH,Bosnia and Herzegovina,2026,Europe & Central Asia,Upper middle income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
CHE,Switzerland,2026,Europe & Central Asia,High income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
CHN,China,2026,East Asia & Pacific,Upper middle income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
COL,Colombia,2026,Latin America & Caribbean,Upper middle income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
ALB,Albania,2026,Europe & Central Asia,Upper middle income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
AGO,Angola,2026,Sub-Saharan Africa,Lower middle income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
ARG,Argentina,2026,Latin America & Caribbean,Upper middle income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
DNK,Denmark,2026,Europe & Central Asia,High income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
DEU,Germany,2026,Europe & Central Asia,High income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
CRI,Costa Rica,2026,Latin America & Caribbean,Upper middle income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
BWA,Botswana,2026,Sub-Saharan Africa,Upper middle income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
AZE,Azerbaijan,2026,Europe & Central Asia,Upper middle income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
BRA,Brazil,2026,Latin America & Caribbean,Upper middle income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
BLR,Belarus,2026,Europe & Central Asia,Upper middle income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
BGR,Bulgaria,2026,Europe & Central Asia,Upper middle income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
BEL,Belgium,2026,Europe & Central Asia,High income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
HUN,Hungary,2026,Europe & Central Asia,High income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
IRL,Ireland,2026,Europe & Central Asia,High income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
ITA,Italy,2026,Europe & Central Asia,High income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
ISL,Iceland,2026,Europe & Central Asia,High income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
HRV,Croatia,2026,Europe & Central Asia,High income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
NLD,Netherlands,2026,Europe & Central Asia,High income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
PRT,Portugal,2026,Europe & Central Asia,High income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
PRI,Puerto Rico,2026,Unknown,High income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
UKR,Ukraine,2026,Europe & Central Asia,Lower middle income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
URY,Uruguay,2026,Latin America & Caribbean,High income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
VEN,"Venezuela, RB",2026,Latin America & Caribbean,Upper middle income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
NOR,Norway,2026,Europe & Central Asia,High income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
MNG,Mongolia,2026,East Asia & Pacific,Lower middle income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
NIC,Nicaragua,2026,Latin America & Caribbean,Lower middle income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
LVA,Latvia,2026,Europe & Central Asia,High income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
LTU,Lithuania,2026,Europe & Central Asia,High income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
HKG,"Hong Kong SAR, China",2026,Unknown,Unknown,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
JAM,Jamaica,2026,Latin America & Caribbean,Upper middle income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
KNA,St. Kitts and Nevis,2026,Unknown,Unknown,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
GEO,Georgia,2026,Europe & Central Asia,Upper middle income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
GRD,Grenada,2026,Unknown,Unknown,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
DOM,Dominican Republic,2026,Latin America & Caribbean,Upper middle income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
GBR,United Kingdom,2026,Europe & Central Asia,High income,91.66666666666667,100.0,1.0,1.0,1.0,1.0,75.0,1.0,1.0,0.0,1.0,100.0,4.0,4.0,4.0,4.0,1
